epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.05, 0.75, '1.0/t', 0.0, 97,0.57256504663721164, 0.44 
0.05, 0.75, '1.0/t', 0.0, 99,0.56712041045374384, 0.38 
0.05, 0.75, '1.0/t', 0.0, 97,0.51636705791344972, 0.46 
0.05, 0.75, '1.0/t', 0.0, 93,0.5597508107185527, 0.33 
0.05, 0.75, '1.0/t', 0.0, 94,0.55639725522704242, 0.49 
0.05, 0.75, '1.0/t', 0.0, 99,0.54748516915183576, 0.35 
0.05, 0.75, '1.0/t', 0.0, 89,0.53895666131621189, 0.32 
0.05, 0.75, '1.0/t', 0.0, 90,0.55768783068783079, 0.43 
0.05, 0.75, '1.0/t', 0.0, 96,0.58385664682539684, 0.36 
0.05, 0.75, '1.0/t', 0.0, 98,0.59332236357746571, 0.39 
0.05, 0.75, '1.0/t', 0.0, 99,0.56878780590901801, 0.33 
0.05, 0.75, '1.0/t', 0.0, 96,0.53603851010101, 0.33 
0.05, 0.75, '1.0/t', 0.0, 96,0.5683151455026455, 0.43 
0.05, 0.75, '1.0/t', 0.0, 90,0.54542448292448298, 0.58 
0.05, 0.75, '1.0/t', 0.0, 96,0.59079966329966327, 0.36 
0.05, 0.75, '1.0/t', 0.0, 96,0.57777206589706587, 0.35 
0.05, 0.75, '1.0/t', 0.0, 93,0.56701298701298708, 0.39 
0.05, 0.75, '1.0/t', 0.0, 91,0.59547182975754398, 0.41 
0.05, 0.75, '1.0/t', 0.0, 96,0.55584332912457912, 0.39 
0.05, 0.75, '1.0/t', 0.0, 87,0.50667827702310464, 0.41 
0.05, 0.75, '1.0/t', 0.0, 93,0.51781548200903038, 0.38 
0.05, 0.75, '1.0/t', 0.0, 99,0.55238729284183818, 0.34 
0.05, 0.75, '1.0/t', 0.0, 91,0.49751090179661611, 0.49 
0.05, 0.75, '1.0/t', 0.0, 98,0.55501604970992724, 0.31 
0.05, 0.75, '1.0/t', 0.0, 96,0.55411120129870139, 0.28 
0.05, 0.75, '1.0/t', 0.0, 91,0.57319989534275251, 0.56 
0.05, 0.75, '1.0/t', 0.0, 97,0.59374875410957884, 0.37 
0.05, 0.75, '1.0/t', 0.0, 88,0.55619195198740656, 0.44 
0.05, 0.75, '1.0/t', 0.0, 96,0.58079545454545445, 0.32 
0.05, 0.75, '1.0/t', 0.0, 92,0.51976315954576824, 0.37 
0.05, 0.75, '1.0/t', 0.0, 97,0.59360988381606938, 0.25 
0.05, 0.75, '1.0/t', 0.0, 87,0.55591133004926097, 0.46 
0.05, 0.75, '1.0/t', 0.0, 93,0.55664478890285329, 0.36 
0.05, 0.75, '1.0/t', 0.0, 93,0.56095075175720344, 0.43 
0.05, 0.75, '1.0/t', 0.0, 87,0.54442163838715552, 0.38 
0.05, 0.75, '1.0/t', 0.0, 93,0.57524181911278682, 0.33 
0.05, 0.99, '1.0/t', 0.0, 80,0.50912896825396825, 0.36 
0.05, 0.99, '1.0/t', 0.0, 77,0.55157362118401077, 0.4 
0.05, 0.99, '1.0/t', 0.0, 87,0.54723565706324317, 0.43 
