Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
1-May-02,AEOREMA COMMUNICATIONS PLC         ,GB,AIM,,GB00B4QHH456,ORD GBP0.125                            ,AEO  ,2.941256175,"9,050,019.00",Consumer Services,Media,Media,Broadcasting & Entertainment,5553,AIMI,AIMT,GBX,,,,,,,,,,,,,,,,,,
12-May-15,AEW UK REIT PLC                    ,GB,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00BWD24154,ORD GBP0.01                             ,AEWU,209.8346240375,"218,009,999.00",Financials,Real Estate,Real Estate Investment Trusts,Diversified REITs,8674,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
26-Jul-10,AFARAK GROUP PLC                   ,FI,International Main Market,Standard Shares,FI0009800098,NPV (DI)                                ,AFRK,85.488225875,"263,040,695.00",Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel,1757,SSQ3,SQS3,GBX,,,,,,,,,,,,,,,,,,
24-Apr-07,AFC ENERGY PLC                     ,GB,AIM,,GB00B18S7B29,ORD GBP0.001                            ,AFC  ,68.20306746,"310,013,943.00",Oil & Gas,Oil & Gas,Alternative Energy,Alternative Fuels,587,AMSM,ASM8,GBX,,,,,,,,,,,,,,,,,,
30-Jun-14,AFH FINANCIAL GROUP PLC            ,GB,AIM,,GB00B4W5WQ08,ORD GBP0.10                             ,AFHP ,39.170872,"24,105,152.00",Financials,Financial Services,Financial Services,Asset Managers,8771,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
11-May-07,AFI DEVELOPMENT PLC                ,CY,International Main Market,Standard GDRs,US00106J2006,GDR EACH REPR 1 ORD 'REGS'              ,AFID,69.3389034610979,"110,000,000.00",,,,,8733,IOBE,LLHE,USD,,,,,,,,,,,,,,,,,,
11-May-07,AFI DEVELOPMENT PLC                ,CY,International Main Market,Standard GDRs,US00106J1016,GDR EACH REPR 1 ORD '144A'              ,53GI,69.3389034610979,0.00,,,,,8733,MISC,INTM,USD,,,,,,,,,,,,,,,,,,
11-May-07,AFI DEVELOPMENT PLC                ,CY,International Main Market,Premium Equity Commercial Companies,CY0101380612,ORD USD0.001 B                          ,AFRB,69.3389034610979,"523,847,027.00",,,,,8733,SET3,ON10,USD,,,,,,,,,,,,,,,,,,
17-Apr-14,AFRICA OPPORTUNITY FUND LTD        ,KY,International Main Market,,KYG012921121,ORD USD0.1 C                            ,AOFC,67.0936836791137,"100,000,000.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SFM3,SFNC,USD,,,,,,,,,,,,,,,,,,
17-Apr-14,AFRICA OPPORTUNITY FUND LTD        ,KY,International Main Market,,KYG012921048,ORD USD0.01                             ,AOF ,67.0936836791137,"42,630,327.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SFM3,SFNC,USD,,,,,,,,,,,,,,,,,,
22-Feb-13,AFRICAN POTASH LIMITED             ,GG,AIM,,GG00B4QYTJ50,ORD NPV                                 ,AFPO ,2.8891309135,"888,963,358.00",Basic Materials,Basic Resources,Mining,General Mining,1775,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
